0,6763
1,9197
2,10777
3,12618
4,14569
5,16586
6,18563
7,20468
8,22295
9,24045
10,25817
11,27656
12,29698
13,31860
14,34151
15,36614
16,38987
17,41279
18,43508
19,45609
20,47466
21,49199
22,50887
23,52592
24,54360
25,55941
26,57374
27,58677
28,59818
29,60856
30,61870
31,63028
32,64196
33,65200
34,66187
35,67024
36,67746
37,68409
38,69054
39,69676
40,70234
41,70791
42,71336
43,71898
44,72497
45,73127
46,73771
47,74380
48,74956
49,75441
50,75890
51,76332
52,76768
53,77249
54,77740
55,78286
56,78802
57,79336
58,79863
59,80357
60,80817
61,81258
62,81727
63,82155
64,82557
65,82910
66,83306
67,83670
68,84032
69,84386
70,84740
71,85127
72,85510
73,85906
74,86279
75,86685
76,87076
77,87473
78,87900
79,88301
80,88757
81,89261
82,89718
83,90249
84,90855
85,91499
86,92193
87,92951
88,93765
89,94716
90,95853
91,97152
92,98667
93,100322
94,102122
95,104099
96,106161
97,108211
98,110341
99,112618
100,114879
101,117107
102,119158
103,121050
104,123000
105,124809
106,126627
107,128406
108,130166
109,131990
110,133829
111,135759
112,137840
113,139967
114,142015
115,143840
116,145489
117,146880
118,148213
119,149491
120,150675
121,151792
122,152818
123,153666
124,154437
125,155133
126,155841
127,156481
128,157141
129,157807
130,158405
131,159007
132,159568
133,160098
134,160599
135,161122
136,161642
137,162144
138,162671
139,163230
140,163804
141,164440
142,165102
143,165790
144,166534
145,167296
146,168148
147,168983
148,169801
149,170566
150,171307
151,172063
152,172861
153,173728
154,174763
155,175864
156,177119
157,178441
158,179683
159,180918
160,182191
161,183530
162,184895
163,186292
164,187630
165,188862
166,190086
167,191425
168,192892
169,194447
170,196027
171,197578
172,198917
173,200157
174,201541
175,203180
176,205133
177,207223
178,209278
179,211098
180,212849
181,214729
182,216855
183,219353
184,222007
185,224512
186,226755
187,228749
188,231010
189,233664
190,236336
191,238914
192,241768
193,244906
194,248114
195,251595
196,255450
197,259357
198,262778
199,265527
200,267832
201,269807
202,271817
203,274016
204,276368
205,278695
206,281057
207,283270
208,285041
209,286695
210,288332
211,289851
212,291354
213,292962
214,294586
215,296134
216,297605
217,299050
218,300615
219,302320
220,303904
221,305102
222,305737
223,306064
224,306208
225,306305
226,306375
227,306443
228,306505
229,306562
230,306608
231,306654
232,306706
233,306750
234,306798
235,306847
236,306873
237,306909
238,306948
239,306979
240,307006
241,307024
242,307046
243,307065
244,307085
245,307103
246,307111
247,307118
248,307126
249,307140
250,307148
251,307159
252,307179
253,307199
254,307200
255,307200
